"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"STR_TERJEGADGETS_PROG_CALC","Calculator","Calculator","Kalkulačka","Rechner","Калькулятор","Kalkulator","Kalkulátor","Calcolatore","Calculadora","Calculateur","计算器","電卓","Calculador","计算器",
"STR_TERJEGADGETS_PROG_BROWSER","Browser","Browser","Prohlížeč","Browser","Браузер","Przeglądarka","Böngésző","Browser","Navegador","Navigateur","浏览器","ブラウザ","Navegador","浏览器",
"STR_TERJEGADGETS_PROG_CLOCK","Clock","Clock","Hodiny","Uhr","Часы","Zegar","Óra","Orologio","Reloj","Horloge","时钟","時計","Relógio","时钟",
"STR_TERJEGADGETS_PROG_MAIL","Mail","Mail","Mail","Mail","Почта","Poczta","Levél","Posta","Correo","Courrier","邮件","メール","Correio","邮件",
"STR_TERJEGADGETS_PROG_MAPS","Maps","Maps","Mapa","Maps","Карты","Mapy","Térképek","Mappa","Mapas","Cartes","地图","地図","Mapas","地图",
"STR_TERJEGADGETS_PROG_MSG","Messenger","Messenger","Posel","Messenger","Мессенджер","Komunikator","Hírnök","Messenger","Mensajero","Messenger","信使","メッセンジャー","Messenger","信使",
"STR_TERJEGADGETS_PROG_NOTES","Notes","Notes","Poznámky","Notizen","Заметки","Notatka","Megjegyzések","Conversazione","Notas","Fiche","注意事项","ノート","Anotação","注意事项",
"STR_TERJEGADGETS_PROG_RADIO","Radio","Radio","Rozhlas","Radio","Радио","Radio","Rádió","Radio","Radio","Radio","无线电","ラジオ","Rádio","无线电",
"STR_TERJEGADGETS_PROG_MUSIC","Music","Music","Hudba","Musik","Музыка","Muzyka","Zene","Musicale","Música","Musique","音乐","音楽","Música","音乐",
"STR_TERJEGADGETS_PROG_GALLERY","Gallery","Gallery","Galerie","Galerie","Галерея","Galeria","Galéria","Galleria","Galería","Galerie","展览廊","ギャラリー","Galeria","展览廊",
"STR_TERJEGADGETS_PROG_SETTINGS","Settings","Settings","Nastavení","Die Einstellungen","Настройки","Konfiguracja","Beállítások","Regolazioni","Ajustes","Réglages","设置","設定","Sintonização","设置",
"STR_TERJEGADGETS_PROG_TETRIS","Tetris","Tetris","Tetris","Tetris","Тетрис","Tetris","Tetris","Tetris","Tetris","Tetris","俄罗斯方块","テトリス","Tetris","俄罗斯方块",
